Source,Date,Title,Authors,Text,Keywords
foxnews,2016-02-21 00:00:00,Is Trump Questioning Rubio's Eligibility?,[],"By Eliza Collins, Politico



Donald Trump is now raising questions about Marco Rubios ability to legally run for president.

On Saturday, Trump retweeted a tweet that suggested the Florida senator was not a citizen, George Stephanopoulos asked him about it on ABCs This Week Sunday morning.","['suggested', 'week', 'run', 'trump', 'eligibility', 'retweeted', 'questioning', 'rubios', 'questions', 'senator', 'stephanopoulos', 'raising']"
foxnews,,Shake up National Margarita Day with new recipes,[],,"['recipes', 'margarita', 'national', 'day', 'shake']"
foxnews,2016-02-19 00:00:00,Virgin Galactic unveils new SpaceShipTwo spaceplane,[],"Virgin Galactic unveiled the latest version of its SpaceShipTwo spaceplane Friday.

The private space tourism company revealed the plane during an event at the Mojave Air and Spaceport in California. Professor Stephen Hawking named the spaceplane Virgin Spaceship (VSS) Unity in a recorded speech.

Related: Google this: Israeli scientists eye $20M moon race prize



""Together, we can make space accessible in a way that has only been dreamt of before now, and by doing so can bring positive change to life on Earth,"" said Virgin Group Founder Sir Richard Branson. ""Our beautiful new spaceship, VSS Unity, is the embodiment of that goal and will provide us with an unprecedented body of experience which will in turn lay the foundations for Virgin Galactic's future.""

Ladies and gentlemen, please meet the new #SpaceShipTwo. More photos and info coming soon. pic.twitter.com/cNCTDj3cHv  Virgin Galactic (@virgingalactic) February 19, 2016

The spaceplane is designed to take a crew of two pilots and six passengers to space.

Virgin Galactic's spaceline fleet now consists of VSS Unity and two carrier aircraft - WhiteKnightTwo VMS Eve for transporting humans to space and the 747-400 Cosmic Girl for the company's LauncherOne satellite launch service.

Related: Virgin Galactic will launch satellites from a Boeing 747

The company will now perform systems verification on the new spaceplane, followed by ground and flight tests in Mojave and its future home in Spaceport America, N.M. In a press release, Virgin Galactic said that it has already started work on the next SpaceShipTwo.



VSS Unity replaces the first SpaceShipTwo, which broke apart on Oct. 31, 2014, during its fourth rocket-powered flight. Wreckage fell to the Mojave Desert.

The investigation into the mid-flight break up found that co-pilot Michael Alsbury prematurely unlocked the so-called feathering system that is intended to slow and stabilize the craft as it re-enters the atmosphere, according to the Associated Press. Alsbury was killed, but pilot Peter Siebold, although seriously injured, parachuted to safety.

Related: Virgin Galactics SpaceShipTwo crashes, one pilot killed



A National Transportation Safety Board investigation found that Scaled Composites, a company that was developing SpaceShipTwo with Virgin Galactic and was responsible for its test program, should have had systems to compensate for human error, the AP reported.","['spaceplane', 'vss', 'galactic', 'space', 'company', 'spaceshiptwo', 'unveils', 'virgin', 'unity', 'mojave', 'galactics']"
foxnews,2014-05-05 00:00:00,Demystifying flying: What is an air pocket?,['Tom Bunn'],"If youve been a passenger in an airplane, its likely that you have felt an air pocket, or what feels like a quick drop in the air.

""Air pocket"" is merely another term for ordinary turbulence. You might feel as if you're falling from the sky, but rest assured, if you flying commercially, you rarely gain or lose more than about twenty feet, especially if the plane is on autopilot.

The term ""air pocket"" comes from early aviation, a time when pilots flying open-cockpit biplanes took adventurous locals on a rides in their flying machines. These planes, with two wings one above the other, flew at relatively slow speeds. When the plane entered air that, instead of simply sitting there, was flowing slightly upward or slightly downward, the plane's path was altered slightly upward or slightly downward. Air pockets do not technically exist, yet it's an expression that has caught on and is still misused today.

So what happens when you experience a bumpy ride that rattles glasses and turns some knuckles white?

The first thing you need to understand is a basic rule of flying: the earth has different surface temperatures that impacts flight as the aircraft passes through. For example, the surface of a lake is cooler than the surrounding earth, or plowed fields have a different surface temperature than those that are unplowed. Warm air is lighter than cool air. Warmed air rises. Cooled air descends. When a plane encounters varying airflow, we can feel what we call an air pocket today.

The idea of an ""air pocket"" might seem reassuring from a pilot's point of view, for a pocket is something you slip your hand into. When you do, your hand can only go so far. But, over the years, the phrase has come to be thought of as an area where there is no air. With no air, what is going to hold the plane up?

The term, if misunderstood, can lead to fear that an ""air pocket"" - a place devoid of air - could be big enough to cause a plane to plunge to the earth or go out of control. But it doesn't exist.

It may be helpful to try to imagine a ""water pocket,"" an area in a lake where there is no water. You can't, right? Since you can see water, it is hard to conceive of such a thing as a water pocket.

One analogy that is helpful to my clients is picturing the sky as one large bowl of Jello. Imagine that large bowl of chilled Jello with a small, plastic airplane in the middle. Now, pick up the bowl and shake it. The airplane certainly moves and jiggles, but it is impossible for the small plastic toy to fall out of the bowl (the sky).

Flying through an ""air pocket"" isn't much different from driving your car over a pot hole or steering a boat over waves. It may be bumpy, but you're rarely in danger --that is unless you're not wearing a seat belt.

Captain Tom Bunn, retired airline pilot and licensed therapist, is the founder of SOAR, a program designed to help those with fear of flying and flight-related anxieties.","['water', 'term', 'youre', 'slightly', 'flying', 'bowl', 'surface', 'air', 'pocket', 'plane', 'demystifying']"
foxnews,,"Congressman: Humanitarian concerns, security not exclusive",[],,"['exclusive', 'security', 'humanitarian', 'concerns', 'congressman']"
foxnews,2016-01-28 00:00:00,"Fighter jets caused sonic booms along New Jersey coast, officials say",[],"Sonic booms heard and felt along the eastern shoreline were caused by military fighter jets conducting tests, officials said.

An F-35C, which has a top speed of nearly 1,200 mph, and an F-18 from Naval Air Station Patuxent River in Maryland were conducting supersonic testing off the coast Thursday afternoon, according to a Navy spokeswoman.

Residents reported hearing loud booms and feeling the ground and buildings shake from New Jersey to Long Island. The booms were heard as far away as Connecticut.

Related: 'Citizen scientists' use drones to map El Nino flooding

Navy spokeswoman Connie Hempel said supersonic tests flights are done almost daily in the same area but that most sonic booms aren't felt on land. They are conducted offshore in an area called the Test Track, parallel to the coast of the Delmarva Peninsula which is occupied by Delaware, Maryland and Viriginia.

Certain atmospheric conditions can increase the chance of hearing the booms.

Not an earthquake but a sonic boom in New Jersey: https://t.co/eUr4sB28Wm pic.twitter.com/TQFlkGr633  USGS (@USGS) January 28, 2016

Thursday's tests were done around 1:30 and 2:30 p.m.

A geophysicist with the U.S. Geological Survey said there were nine total booms. Bruce Presgrave said recordings show they occurred over the span of 90 minutes.

The Department of Defense employs a hotline for noise disturbances for the Naval Air Station in Patuxent River. Questions can be referred to 866-819-9028.","['sonic', 'tests', 'fighter', 'booms', 'supersonic', 'caused', 'patuxent', 'coast', 'say', 'officials', 'usgs', 'jets', 'station', 'maryland', 'river', 'jersey', 'naval']"
foxnews,2016-02-22 00:00:00,Bill Cosby's wife to give deposition in defamation case brought by seven accusers,[],"Bill Cosby's wife is slated to answer questions under oath in a defamation lawsuit brought against her husband by seven women who claim the comedian sexually assaulted them decades ago.

Camille Cosby is scheduled to be questioned by a lawyer for the women Monday at the Springfield Marriott. It is believed to be the first deposition Camille Cosby has given since dozens of women went public with allegations of sexual misconduct against her husband.

Lawyers for the Cosbys have argued that she does not have any information on the accuracy of the women's claims and that her conversations with her husband are confidential under the Massachusetts marital disqualification rule. They attempted to quash the deposition.

A judge had ruled Friday that Camille Cosby's deposition must proceed. However, defense lawyers filed an emergency motion late Saturday requesting it be delayed, saying the 71-year-old ""has had no involvement with the facts or allegations underlying this case."" They argued her public testimony would create ""an unnecessary media circus and personal security threat that serves no purpose other than to harass and embarrass her.""

In a ruling late Sunday, a judge said Monday's deposition can take place.

The Cosbys have a home in Shelburne Falls, about an hour's drive to Springfield, where the lawsuit was filed. The couple has been married for 52 years.

A lawyer for the women argued that because Camille Cosby has been the TV star's wife and business manager, she could have useful information.

The plaintiffs in the Massachusetts defamation case are among about 50 who have accused Cosby of sexual misconduct.

In December, Cosby, 78, was charged in Pennsylvania with drugging and sexually assaulting a former Temple University employee at his suburban Philadelphia home in 2004. Cosby has pleaded not guilty. Earlier this month, a judge denied a motion by Cosby's lawyers to dismiss the charges. A preliminary hearing is scheduled for March 8.

Cosby's lawyers have said in court papers that the deposition is ""nothing more than a thinly veiled attempt to pressure (the) defendant in the face of subjecting his wife to the shame and embarrassment of responding to questions about his alleged infidelities and sexual misconduct.""","['case', 'camille', 'seven', 'lawyers', 'cosby', 'wife', 'defamation', 'bill', 'brought', 'argued', 'deposition', 'judge', 'cosbys', 'sexual', 'accusers', 'women']"
foxnews,2016-02-01 00:00:00,Consumer Spending Unchanged in December,[],"U.S. consumer spending was unchanged in December as households cut back on purchases of automobiles and unseasonably mild weather weighed on demand for utilities, but a jump in savings to a three-year high suggested there is enough muscle to boost consumption in the months ahead.

Continue Reading Below

The Commerce Department said on Monday the unchanged reading in consumer spending followed an upwardly revised 0.5 percent increase in November. When adjusted for inflation, consumer spending edged up 0.1 percent after a 0.4 percent gain in November.

Economists polled by Reuters had forecast consumer spending, which accounts for more than two-thirds of U.S. economic activity, edging up 0.1 percent in December after a previously reported 0.3 percent gain in November.

Consumer spending increased 3.4 percent in 2015 after advancing 4.2 percent in 2014.

That data was included in last Friday's fourth-quarter gross domestic product report, which showed consumer spending slowed to a 2.2 percent annual rate from the third quarter's brisk 3 percent pace.

Moderate consumer spending, weak export growth and ongoing efforts by businesses to reduce unsold merchandise piled up in warehouses helped restrict economic growth to a 0.7 percent pace in the fourth quarter. More cutbacks in investment by energy firms struggling with lower oil prices also hurt GDP growth.

Continue Reading Below ADVERTISEMENT

In December, income rose 0.3 percent after a similar gain in November. Wages and salaries increased 0.2 percent after shooting up 0.5 percent in November. Income in 2015 increased

4.5 percent, the largest increase since 2012, after rising 4.4 percent in 2014.

With income outpacing spending, savings surged to $753.3 billion in December, the highest level since December 2012, from $717.8 billion in November.

Higher savings and rising house prices should help to soften the blow from a recent stock market sell-off and drive spending in early 2016.

With consumption soft, inflation retreated in December.

A price index for consumer spending slipped 0.1 percent after ticking up 0.1 percent in November. In the 12 months through December, the personal consumption expenditures (PCE) price index, however, rose 0.6 percent after increasing 0.4 percent in November.

That was the largest increase since December 2014.

Year-over-year inflation rates are rising as the weak readings during the year drop out of the calculation. Excluding food and energy, prices were unchanged after rising 0.2 percent in November. The so-called core PCE price index increased 1.4 percent in the 12 months through December after a similar gain in November.

Core PCE is the Federal Reserve's preferred inflation measure and remains well below the U.S. central bank's 2 percent target.

(Reporting by Lucia Mutikani; Editing by Paul Simao)","['01', 'spending', 'unchanged', 'savings', 'inflation', 'rising', 'gain', 'prices', 'reading', 'consumer']"
foxnews,2015-11-11 00:00:00,History of camouflage in pictures,['Peter Suciu'],"Two very different camouflage pattern helmet covers that were used by the U.S. military in Iraq. The Desert Battle Dress Uniform (DBDU) was the American arid-environment camo pattern that was developed in the 1980s and used during the Gulf War in 1991. It features six colors but was widely known as the ""Chocolate-Chip Camouflage"" as it resembled chocolate-chip cookie dough. It was replaced by the Desert Camouflage Uniform (DCU) that was used during Operation Iraqi Freedom. The DCU features a three-color desert pattern that was created primarily for lower, more open and less rocky desert terrain. Desert soil samples from Saudi Arabia and Kuwait were considered in the DCU's development. (Photo: Peter Suciu)","['used', 'features', 'pictures', 'camouflage', 'uniform', 'chocolatechip', 'widely', 'pattern', 'dcu', 'war', 'desert', 'history']"
foxnews,2016-02-22 00:00:00,HPV rate in teen girls drops by more than 60 percent,[],"The prevalence of human papillomavirus (HPV) infections among teenage girls in the United States has dropped by more than 60 percent since the vaccine against the cancer-causing virus was introduced a decade ago, according to a new study.

The researchers found that, within six years of the vaccine's introduction in 2006, the prevalence of HPV among girls ages 14 to 19 decreased by 64 percent.

And, among young women ages 20 to 24, the prevalence decreased by 34 percent over that same time period, the researchers found.

The new results suggest that the HPV vaccine ""is a very effective vaccine,"" said lead study author Dr. Lauri E. Markowitz, a researcher at the Centers for Disease Control and Prevention (CDC).

In the study, the researchers pulled data from the CDC's National Health and Nutrition Examination Survey, which is a yearly survey of people in the U.S. that involves both interviews and physical exams. The researchers looked at data on the percentage of teenage girls and young women who were infected with HPV between 2003 and 2006  shortly before the vaccine was introduced in 2006  and then again between 2009 and 2012  several years after it was introduced.

Among girls ages 14 to 19, the researchers found, 11.5 percent were infected with HPV before the vaccine was introduced in 2006. That percentage dropped to 4.3 percent for the years between 2009 and 2012, the researchers found. [5 Dangerous Vaccine Myths]

Among women ages 20 to 24, the prevalence dropped from 18.5 percent before the vaccine was introduced to 12.1 percent in the years after it was introduced.

Three types of HPV vaccine have been available since the introduction of the vaccine in 2006, and clinical trials have shown that all three work well for preventing HPV infections, the researchers said. One of the vaccines, the bivalent one, targets two strains of the HPV virus. Another vaccine, called quadrivalent, targets four strains. The newest vaccine, 9-valent HPV vaccine, which was licensed in 2014, targets the same four strains of the virus as the quadrivalent vaccine plus an additional five HPV strains.

However, during the they years covered in the study, and until 2014, nearly everyone who received an HPV vaccination in the United States was given the quadrivalent vaccine, the researchers said.

The new results are in line in with previous research conducted by the CDC that also showed that the prevalence of HPV infections among 14 to 19 year-old girls had decreased after the introduction of the vaccine, the researchers said. Now, the new study adds the first evidence that also shows the impact of the vaccine on the prevalence of HPV in young women in their 20s, they said.

The CDC currently recommends the HPV vaccine for girls and boys at 11 or 12 years of age, administered in three doses over six months.

Through the new results are encouraging, the number of young people who have received the vaccine has increased more slowly than the researchers had expected, the researchers said. According to separate data gathered in the CDC in recent years, only 42 percent of girls and 22 percent of boys ages 13 to 17 have received all three recommended doses of the vaccine.

The new study was published today (Feb. 22) in the journal Pediatrics.

Follow Live Science @livescience , Facebook & Google+ . Originally published on Live Science .","['teen', 'prevalence', 'ages', 'study', 'girls', 'hpv', 'young', '60', 'rate', '2006', 'vaccine', 'drops', 'researchers', 'women']"
